year,brand,superbowl_ads_link,youtube_link,length,estimated_cost,youtube_views,youtube_likes,tv_viewers,funny,shows_product_quickly,patriotic,celebrity,danger,animals,uses_sex,no_youtube_likes
2001,Pepsi,https://superbowl-ads.com/2001-pepsi-subway-miracle/,https://www.youtube.com/watch?v=1nmPv4M8Ps8,30,2.1,1202.0,5.0,84.3,1,0,0,0,0,0,1,1197.0
2001,E-Trade,https://superbowl-ads.com/2001-etrade-dot-com-ghost-town/,https://www.youtube.com/watch?v=ONZFkqzuMjI,30,2.1,105126.0,191.0,84.3,0,0,0,0,1,1,0,104935.0
2001,Pepsi,https://superbowl-ads.com/2001-pepsi-roller-coaster/,https://www.youtube.com/watch?v=MwfL-DkL1Vg,30,2.1,65284.0,110.0,84.3,1,1,0,0,0,0,1,65174.0
2001,Bud Light,https://superbowl-ads.com/2001-bud-light-cedric-the-entertainer/,https://www.youtube.com/watch?v=h-HHbtwX5vY,30,2.1,1047.0,3.0,84.3,1,0,0,1,0,0,1,1044.0
2001,Doritos,https://superbowl-ads.com/2001-doritos-ali-landry/,https://www.youtube.com/watch?v=xbrvsJZSxok,30,2.1,4183.0,15.0,84.3,1,1,0,1,0,0,1,4168.0
2001,Pepsi,https://superbowl-ads.com/2001-pepsi-bob-dole/,https://www.youtube.com/watch?v=6h7wifUL8mk,45,3.15,12595.0,13.0,84.3,1,0,1,1,0,1,1,12582.0
2001,Pepsi,https://superbowl-ads.com/2001-pepsi-kasparov-vs-pepsi-machine/,https://www.youtube.com/watch?v=pldGc0Cpf84,60,4.2,1632.0,15.0,84.3,1,0,0,1,1,0,0,1617.0
2001,E-Trade,https://superbowl-ads.com/2001-etrade-security-guard/,https://www.youtube.com/watch?v=39BL7iqe6pQ,30,2.1,6602.0,12.0,84.3,1,0,0,0,1,0,0,6590.0
2001,Budweiser,https://superbowl-ads.com/2001-budweiser-nsync/,https://www.youtube.com/watch?v=H9YdunAo3Ug,30,2.1,78098.0,350.0,84.3,0,0,0,1,0,0,0,77748.0
2002,Budweiser,https://superbowl-ads.com/2002-budweiser-ground-zero-clydesdales-bow/,https://www.youtube.com/watch?v=1MZUvib98Rs,60,4.2,147441.0,845.0,86.8,0,1,1,0,0,1,0,146596.0
2002,Budweiser,https://superbowl-ads.com/2002-budweiser-how-ya-doin/,https://www.youtube.com/watch?v=mhEYXcCB1Qw,30,2.1,49992.0,329.0,86.8,1,1,0,0,0,0,0,49663.0
2002,Budweiser,https://superbowl-ads.com/2002-budweiser-anniversary-card/,https://www.youtube.com/watch?v=LnU2T2P1oxA,30,2.1,14401.0,54.0,86.8,1,0,0,0,0,0,0,14347.0
2002,Bud Light,https://superbowl-ads.com/2002-bud-light-falcon/,https://www.youtube.com/watch?v=ZBD4dYTpYAU,30,2.1,3991.0,17.0,86.8,1,1,0,0,1,1,1,3974.0
2002,Bud Light,https://superbowl-ads.com/2002-bud-light-robobash/,https://www.youtube.com/watch?v=oJvsWvaTr4w,30,2.1,64696.0,189.0,86.8,1,0,0,0,1,0,0,64507.0
2002,Bud Light,https://superbowl-ads.com/2002-bud-light-satin-sheets/,https://www.youtube.com/watch?v=-LwSb4cCAnw,30,2.1,84183.0,342.0,86.8,1,0,0,0,1,0,1,83841.0
2002,E-Trade,https://superbowl-ads.com/2002-etrade-monkey-musical/,https://www.youtube.com/watch?v=SK1i1iyE7RA,30,2.1,1753.0,9.0,86.8,1,1,0,0,0,1,1,1744.0
2002,Pepsi,https://superbowl-ads.com/2002-pepsi-generations-with-britney-spears/,https://www.youtube.com/watch?v=TG4giyL-4Sk,90,6.3,481645.0,7400.0,86.8,0,1,0,1,0,0,1,474245.0
2002,Bud Light,https://superbowl-ads.com/2002-bud-light-cedric-advice/,https://www.youtube.com/watch?v=OfLLLnAngZI,30,2.1,5312.0,24.0,86.8,1,1,0,1,1,0,1,5288.0
2003,Bud Light,https://superbowl-ads.com/2003-bud-light-hermit-crab/,https://www.youtube.com/watch?v=ovQYgnXHooY,30,2.1,13838.0,20.0,88.6,1,1,0,0,1,1,1,13818.0
2003,Bud Light,https://superbowl-ads.com/2003-bud-light-strongman/,https://www.youtube.com/watch?v=_cEQ5g6bzdM,30,2.1,8062.0,55.0,88.6,1,1,0,0,1,0,0,8007.0
2003,Bud Light,https://superbowl-ads.com/2003-bud-light-yoga/,https://www.youtube.com/watch?v=bcV8WN1YIL4,30,2.1,148322.0,57.0,88.6,1,1,0,0,0,0,1,148265.0
2003,Budweiser,https://superbowl-ads.com/2003-budweiser-great-listener/,https://www.youtube.com/watch?v=zx4SnN9HuRw,30,2.1,27782.0,18.0,88.6,1,1,0,0,0,0,0,27764.0
2003,Bud Light,https://superbowl-ads.com/2003-bud-light-upside-down-clown/,https://www.youtube.com/watch?v=DTvxyDwP2CA,30,2.1,179645.0,237.0,88.6,1,1,0,0,0,0,0,179408.0
2003,Bud Light,https://superbowl-ads.com/2003-bud-light-mother-in-law/,https://www.youtube.com/watch?v=RuIXFuwLb2s,30,2.1,179999.0,300.0,88.6,1,1,0,0,0,0,0,179699.0
2003,Budweiser,https://superbowl-ads.com/2003-budweiser-instant-replay/,https://www.youtube.com/watch?v=hM79LTkT7ek,30,2.1,2948.0,10.0,88.6,1,1,0,0,0,1,0,2938.0
2003,Bud Light,https://superbowl-ads.com/2003-bud-light-no-pets-allowed/,https://www.youtube.com/watch?v=BKexURCYxtk,30,2.1,17456.0,70.0,88.6,1,1,0,0,0,1,0,17386.0
2003,Budweiser,https://superbowl-ads.com/2003-budweiser-roommate/,https://www.youtube.com/watch?v=R67qcUIbFhs,30,2.1,21838.0,10.0,88.6,1,0,0,0,0,0,1,21828.0
2003,NFL,https://superbowl-ads.com/2003-nfl-crazy-with-don-cheadle/,https://www.youtube.com/watch?v=Bs0Iwwl-5Lk,60,4.2,18780.0,43.0,88.6,0,0,0,1,0,0,0,18737.0
2004,Bud Light,https://superbowl-ads.com/2004-bud-light-frank/,https://www.youtube.com/watch?v=mjN3OY9Eefk,30,2.1,4068.0,127.0,89.8,1,1,0,0,0,1,1,3941.0
2004,Pepsi,https://superbowl-ads.com/2004-pepsi-bears-find-food/,https://www.youtube.com/watch?v=GzWUUZRli6s,45,3.15,181362.0,313.0,89.8,1,0,0,0,0,1,0,181049.0
2004,Budweiser,https://superbowl-ads.com/2004-budweiser-referee/,https://www.youtube.com/watch?v=uO-E2T1hayU,30,2.1,341959.0,912.0,89.8,1,0,0,0,0,0,0,341047.0
2004,Budweiser,https://superbowl-ads.com/2004-budweiser-donkey/,https://www.youtube.com/watch?v=pmmsr7PAhWU,60,4.2,1953836.0,3700.0,89.8,0,1,1,0,0,1,0,1950136.0
2004,Toyota,https://superbowl-ads.com/2004-toyota-revenge/,https://www.youtube.com/watch?v=5uLJitPWAXM,30,2.1,125064.0,871.0,89.8,1,1,0,0,1,0,0,124193.0
2004,Bud Light,https://superbowl-ads.com/2004-bud-light-sleigh-ride/,https://www.youtube.com/watch?v=yQ_nU0_R7PE,30,2.1,88612.0,118.0,89.8,1,0,0,0,1,1,1,88494.0
2004,Pepsi,https://superbowl-ads.com/2004-pepsi-jimi-hendrix/,https://www.youtube.com/watch?v=NOOmu1Rz17Y,30,2.1,62845.0,294.0,89.8,1,1,0,0,0,0,0,62551.0
2004,Bud Light,https://superbowl-ads.com/2004-bud-light-paintball/,https://www.youtube.com/watch?v=qbS0gF3YdBg,30,2.1,618.0,8.0,89.8,1,1,0,0,1,0,0,610.0
2004,Bud Light,https://superbowl-ads.com/2004-bud-light-fergus/,https://www.youtube.com/watch?v=j7QA9oHpduk,30,2.1,7557.0,41.0,89.8,1,1,0,0,1,1,0,7516.0
